date,Close,log_return,rv_22d,realised_skew_22d,realised_kurt_22d,realised_quarticity_22d,jump_flag,garman_klass_rv,parkinson_rv,quote_date,index,amihud_illiq,garman_klass_rv_5d,parkinson_rv_5d,amihud_illiq_5d_mean,garman_klass_rv_21d,parkinson_rv_21d,amihud_illiq_21d_mean,atm_iv_30d,atm_iv_90d,term_structure_slope,skew_30d,avg_bid_ask_spread_pct,avg_open_interest,underlying_price,liquid_options_volume,atm_iv_30d_lag_1,atm_iv_30d_lag_2,atm_iv_30d_lag_3,atm_iv_30d_lag_4,atm_iv_30d_lag_5,atm_iv_30d_change_1d,underlying_price_change_1d,iv_fpca1,iv_fpca2,iv_fpca3
2018-05-03,2343.0129242728494,-0.0036358047493285006,0.023529752857418866,-0.4124593247826985,2.5790438322560862,3.6275756654053183e-06,0.0,-5.071970337808304e-06,2.4875126717832894e-08,2018-05-03,3608.0,3.5780028520232763e-10,-4.964044568840897e-06,2.1611359519281065e-08,3.2137924837595603e-10,-3.487587575606587e-05,2.4730216795292724e-08,8.630058817465675e-10,0.1373,,,-0.0424,0.0002960655511864459,1107.776378436492,2627.3999,2187.6383647798743,0.1321,0.1281,0.1296,0.1294,0.1345,0.00520000000000001,-0.0036292032142951625,-0.9167678551064545,-0.11187815256112459,-0.11805666880064539
2018-05-04,2343.0129242728494,0.010718667835490995,0.02412267592455838,-0.3465153620577811,2.547415452096033,3.7659432297801917e-06,0.0,-2.7394918031067976e-05,1.7670141198161327e-08,2018-05-04,3609.0,1.6227590578017947e-09,-2.104225324698351e-05,2.1379213227307714e-08,6.416784767370064e-10,-3.732883502165821e-05,2.4352361667427983e-08,8.924323346059287e-10,0.1211,,,-0.044600000000000015,0.00024463185947709945,1110.1703391154867,2665.5800999999997,2148.1108462455304,0.1373,0.1321,0.1281,0.1296,0.1294,-0.014302227013908724,0.009940478944305308,-1.3699258022144922,-0.030894028129013457,-0.052118749182988255
2018-05-07,2343.0129242728494,0.0019376243675344508,0.023308688177063417,-0.39752017105940685,2.6987790998591255,3.7249978585281767e-06,0.0,-1.4224771208217612e-06,2.0069234269843267e-08,2018-05-07,3610.0,2.2208154703765085e-10,-1.9566543995271503e-05,2.183609032767633e-08,5.901337006270563e-10,-2.7949198325247222e-05,2.316597707291218e-08,7.779244132309183e-10,0.1224,,,-0.03699999999999999,0.0002029945337477156,1147.5336208273438,2670.75,2357.408053691275,0.1211,0.1373,0.1321,0.1281,0.1296,0.0012999999999999956,0.001939502774649382,-1.3819965067182838,-0.060989740154582306,-0.07729789895084153
2018-05-08,2343.0129242728494,-0.00048312707743397554,0.017426634152200738,0.3054837954048283,2.3193993448085775,1.789474785147912e-06,0.0,-5.6759266097084664e-08,2.4097613428556592e-08,2018-05-08,3611.0,4.832529819429267e-11,-1.8662092175440036e-05,2.2571791316424233e-08,5.265793831854822e-10,-2.664517413231361e-05,2.2515611948830865e-08,7.305145592491662e-10,0.1215,,,-0.041700000000000015,0.00024357969190169214,1148.5898180106683,2669.459999999999,1874.9932126696833,0.1224,0.12109999999999999,0.1373,0.1321,0.1281,-0.000899999999999998,-0.000483010390340155,-1.3608518455842302,-0.0542734233185477,0.020283858440759445
2018-05-09,2343.0129242728494,0.0088687250326767,0.017512332453681684,0.31086465392390294,2.3073050176028773,1.7976950493529164e-06,0.0,-2.7394918031067976e-05,1.7308538553798778e-08,2018-05-09,3612.0,8.41403182481154e-10,-2.3457775737944593e-05,2.080413083363857e-08,6.184738741434423e-10,-2.563851596627616e-05,2.2113995684242132e-08,7.127582453301173e-10,0.1161,,,-0.03609999999999999,0.00030240048643741935,1184.414755412991,2693.2399999999984,2315.1907284768213,0.1215,0.1224,0.1211,0.1373,0.1321,-0.005400000000000002,0.008908168693293472,-1.6233747604730566,-0.04745575402431365,0.15085372239096315
2018-05-10,2343.0129242728494,0.010173674105546626,0.017169777971548936,0.2807806051541547,2.3309167401754194,1.7457383183144086e-06,0.0,-2.7394918031067976e-05,1.8728986206115734e-08,2018-05-10,3613.0,1.1060772746199948e-09,-3.043476376156225e-05,1.957490273129514e-08,7.681292720269757e-10,-2.7187399912276572e-05,2.1698559614047882e-08,7.395221609093384e-10,0.1001,,,-0.024454549277308626,0.0002889048403869136,1179.3220524017468,2720.7799999999997,2310.5203488372094,0.11609999999999998,0.1215,0.12240000000000001,0.1211,0.1373,-0.014302227013908724,0.009940478944305308,-1.8505703194945158,0.12735014140622694,0.24007513228577881
2018-05-11,2343.0129242728494,0.002122174148547276,0.016999908956113752,0.2927574999823819,2.3742013282892986,1.743145985206691e-06,0.0,-1.7146982056577796e-06,1.805244950754075e-08,2018-05-11,3614.0,2.7073895931505646e-10,-1.470211131846587e-05,1.9651364393171024e-08,4.977252523296281e-10,-2.57089773064696e-05,2.1632415931966104e-08,6.984681479958173e-10,0.09899999999999999,,,-0.03539999999999999,0.00032074859130153577,1137.5599723204675,2726.5600999999992,2149.5007072135786,0.1001,0.1161,0.1215,0.12239999999999998,0.1211,-0.0010999999999999899,0.0021244275538629953,-1.9314990041399023,0.14422379439653168,0.24007513228577881
2018-05-14,2343.0129242728494,0.0010336624856833868,0.01603989001668766,0.24953165955459036,2.5860884958552397,1.6903209719367944e-06,0.0,-3.9243668703414097e-07,1.4645277302984528e-08,2018-05-14,3615.0,1.2647676631780545e-10,-1.4496103231708346e-05,1.8566572999799276e-08,4.786042961856591e-10,-2.4950982583595532e-05,2.0768287212076605e-08,6.654123411685918e-10,0.1049,,,-0.029299999999999993,0.0003083820771525071,1188.8477101631117,2729.3799,2271.549848942598,0.09900000000000002,0.1001,0.11610000000000001,0.1215,0.12239999999999998,0.005899999999999989,0.0010341968988691885,-2.299028845152313,0.25700463452712324,-0.11326558500531043
2018-05-15,2343.0129242728494,-0.008673090636423051,0.016416541691036266,0.20841057505785354,2.510186784777888,1.718669666812433e-06,0.0,-2.7394918031067976e-05,1.9551793882443688e-08,2018-05-15,3616.0,9.739207449392841e-10,-2.0290936077788664e-05,1.7657409090576696e-08,6.637233855346573e-10,-2.397979782251907e-05,2.069151503856227e-08,6.453173576713273e-10,0.1165,,,-0.0397,0.0003933653661342784,1193.1580123266565,2705.8100999999992,2312.280193236715,0.1049,0.099,0.1001,0.1161,0.1215,0.011600000000000013,-0.008536681450082384,-1.852785521919654,0.03429969487770604,-0.19781609818085064
2018-06-01,2343.0129242728494,0.008985912304402136,0.011217275541372574,0.8602022819800986,2.7012040054633872,8.634857730502399e-07,0.0,-2.7394918031067976e-05,1.4090447419455178e-08,2018-06-01,3628.0,8.90311097525863e-10,-3.156021414414106e-05,1.6839684035869733e-08,8.310956210924009e-10,-1.7683572190527306e-05,1.7864937560825403e-08,5.484959248650292e-10,0.0993,,,-0.04100000000000001,0.0002622683218070927,1182.4532101006766,2732.0400000000004,640.9599332220369,0.1126,0.1046,0.1262,0.0999,0.0935,-0.013300000000000005,0.009026406816870836,-2.2979536781720293,0.05162720246417338,-0.06393036896030503
